"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.427045418E-1,-8.675958252E-1,4.271667023E0,9.562265167E0,1.050889037E1
6.527145416E-1,-7.017407227E-1,3.262166290E0,9.669591980E0,1.022913379E1
6.627255417E-1,-7.740403748E-1,2.593207397E0,9.520651703E0,9.897811473E0
6.727355416E-1,-1.372495880E0,1.603166199E0,9.083860016E0,9.325792170E0
6.827465417E-1,-1.207838287E0,1.029858398E0,8.006550293E0,8.162372770E0
6.927575418E-1,-6.360273743E-1,8.144563293E-1,7.264692993E0,7.337822171E0
7.027675416E-1,-1.267863464E-1,7.867639160E-1,7.334747314E0,7.377912334E0
7.127785417E-1,4.906796265E-1,9.208850098E-1,8.566685486E0,8.629999763E0
7.227885416E-1,1.170865173E0,9.562115479E-1,9.646689606E0,9.764419395E0
7.327995417E-1,1.703757019E0,1.057101746E0,1.039752823E1,1.058909087E1
7.428095415E-1,1.970801697E0,1.000369720E0,1.015997223E1,1.039758792E1
7.528205416E-1,1.707499237E0,4.782554626E-1,9.454339600E0,9.619190153E0
7.628315417E-1,1.310824127E0,-2.017803955E-1,9.090146942E0,9.186389206E0
7.728415416E-1,1.652114410E0,-6.774911499E-1,8.951385498E0,9.127747730E0
7.828525417E-1,2.381397858E0,5.927673340E-2,8.593330078E0,8.917392630E0
7.928625415E-1,2.150278473E0,4.534071350E-1,8.598120117E0,8.874510978E0
8.028735416E-1,1.747316437E0,-7.409591675E-2,7.827223206E0,8.020226184E0
8.128835419E-1,1.377435608E0,-3.869453430E-1,6.285429382E0,6.446214243E0
8.228945415E-1,1.860780487E0,-2.534230042E-1,5.129383392E0,5.462353085E0
8.329045419E-1,2.716101837E0,-2.080673218E-2,4.974455566E0,5.667702382E0
8.429155420E-1,3.092119904E0,9.205856323E-2,6.389463043E0,7.098937826E0
8.529265416E-1,3.451672211E0,3.992198181E-1,8.007298737E0,8.728702685E0
8.629365419E-1,3.784430237E0,5.155279541E-1,8.854686584E0,9.643295899E0
8.729475415E-1,4.120780792E0,1.428030396E-1,8.961863708E0,9.864898792E0
8.829575418E-1,3.596570892E0,-1.424138489E0,7.351362762E0,8.306986643E0
8.929685419E-1,1.773661652E0,-1.905238037E0,5.892496490E0,6.441841547E0
9.029785418E-1,4.843927002E-1,-1.723515930E0,4.650379486E0,4.983088682E0
9.129895419E-1,1.824705505E-1,-2.183659058E0,3.701652374E0,4.301615125E0
