"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.404141248E-1,-1.050605255E1,-7.423063660E0,2.351310425E0,1.307699029E1
6.504241251E-1,-1.124656265E1,-7.819589081E0,2.816992035E0,1.398451247E1
6.604341250E-1,-1.258118729E1,-8.042924652E0,2.937192078E0,1.521847587E1
6.704441248E-1,-1.352317841E1,-7.839497681E0,2.491568756E0,1.582851834E1
6.804541247E-1,-1.422312286E1,-7.442822571E0,1.632056122E0,1.613556442E1
6.904641250E-1,-1.502515503E1,-6.755152588E0,6.390211487E-1,1.648622814E1
7.004741249E-1,-1.533052002E1,-6.085744629E0,-4.936734009E-1,1.650166189E1
7.104831249E-1,-1.568618042E1,-5.862259369E0,-1.119671631E0,1.678320606E1
7.204931248E-1,-1.566552338E1,-6.075416107E0,-1.332828369E0,1.685513972E1
7.305031251E-1,-1.634421204E1,-6.630611572E0,-1.512454834E0,1.770270591E1
7.405131250E-1,-1.689940750E1,-6.981931000E0,-1.423839111E0,1.834024679E1
7.505231248E-1,-1.775487854E1,-7.075636139E0,-1.541344757E0,1.917488155E1
7.605331251E-1,-1.901525757E1,-6.467600555E0,-1.677411804E0,2.015498915E1
7.705431250E-1,-1.971295670E1,-5.723497925E0,-2.323168945E0,2.065807842E1
7.805531248E-1,-1.988300308E1,-5.094056854E0,-3.025658112E0,2.074699578E1
7.905631247E-1,-1.984408401E1,-4.462520142E0,-3.976480865E0,2.072472331E1
8.005731250E-1,-1.910312485E1,-3.781286774E0,-4.933440857E0,2.008896083E1
8.105831249E-1,-1.873683655E1,-3.523672485E0,-5.688021698E0,1.989570060E1
8.205931247E-1,-1.899804337E1,-2.804418182E0,-6.416556702E0,2.024753350E1
8.306031250E-1,-1.915072586E1,-3.023412781E0,-5.679040375E0,2.020254502E1
8.406131249E-1,-1.767704041E1,-3.820954285E0,-4.764292603E0,1.870229754E1
8.506231247E-1,-1.684117859E1,-4.486919403E0,-4.619393921E0,1.803043378E1
8.606331251E-1,-1.585532867E1,-4.643344116E0,-4.593198395E0,1.714787344E1
8.706431249E-1,-1.495614853E1,-4.738995209E0,-5.006938019E0,1.646857258E1
8.806521250E-1,-1.438059540E1,-5.011578369E0,-5.235213318E0,1.610356793E1
8.906621248E-1,-1.373738297E1,-4.770130463E0,-5.192402344E0,1.544120712E1
9.006721247E-1,-1.298968781E1,-4.569098511E0,-5.008584595E0,1.465245952E1
9.106821250E-1,-1.245978973E1,-4.496050415E0,-5.043013000E0,1.417366606E1
9.206921249E-1,-1.199859879E1,-4.203259277E0,-5.320685577E0,1.378199755E1
9.307021247E-1,-1.127530289E1,-4.287234650E0,-5.358556824E0,1.319950633E1
9.407121250E-1,-9.940378876E0,-4.997956696E0,-5.654491425E0,1.248054392E1
9.507221249E-1,-6.630162506E0,-6.479276276E0,-5.771847382E0,1.092036163E1
9.607321247E-1,1.495540009E0,-1.025741959E1,-5.096152496E0,1.155084701E1
9.707421251E-1,7.326963501E0,-1.564142349E1,-2.715203705E0,1.748458905E1
9.807521249E-1,5.179678802E0,-1.607058105E1,2.763253784E-1,1.688694773E1
9.907621248E-1,-2.561024323E0,-1.038749908E1,1.164727936E0,1.076176445E1
1.000772125E0,-6.682104492E0,-5.433999939E0,7.225474548E-1,8.642971168E0
1.010782125E0,-7.948770447E0,-4.721631317E0,-4.068539429E-1,9.254311646E0
1.020792125E0,-8.338260498E0,-5.207071838E0,-2.040556641E0,1.004012234E1
1.030802125E0,-8.153993683E0,-5.807473297E0,-2.454296265E0,1.030717853E1
1.040812125E0,-8.415799255E0,-6.380182343E0,-1.958377533E0,1.074093322E1
1.050821125E0,-8.486452332E0,-6.903943176E0,-1.277593231E0,1.101437919E1
1.060831125E0,-8.626860352E0,-6.189029846E0,-5.257067871E-1,1.063029527E1
1.070841125E0,-8.926237793E0,-5.359754333E0,3.192860413E-1,1.041665163E1
1.080851125E0,-1.055664734E1,-4.254303131E0,1.475182343E0,1.147684892E1
1.090861125E0,-1.226699066E1,-3.207380219E0,2.105970612E0,1.285307201E1
1.100871667E0,-1.097382980E1,-3.472329254E0,1.737736359E0,1.164052141E1
1.110881667E0,-1.024634262E1,-3.433410187E0,1.695075073E0,1.093842411E1
1.120891667E0,-1.035576508E1,-3.421884155E0,8.511300659E-1,1.093963363E1
1.130901666E0,-1.064017365E1,-3.615431671E0,5.276527405E-1,1.125002483E1
1.140911667E0,-9.053323517E0,-4.159699860E0,7.701484680E-1,9.992942424E0
1.150921667E0,-8.011340332E0,-4.766837311E0,2.137554932E-1,9.324698562E0
1.160931666E0,-6.977290649E0,-4.259691925E0,-5.388793945E-1,8.192554614E0
1.170941667E0,-7.311994629E0,-3.875440979E0,-1.064436493E0,8.343700215E0
1.180951667E0,-9.405690765E0,-2.828518066E0,-1.113534393E0,9.884710015E0
1.190961666E0,-4.742438049E0,-4.961282959E0,2.230361938E-1,6.866934716E0
1.200971667E0,-4.344266052E0,-6.488556976E0,-1.294807434E-1,7.809659687E0
1.210981667E0,-4.844974823E0,-6.339017944E0,-2.495310974E-1,7.982430413E0
1.220991666E0,-5.473667450E0,-5.611680450E0,-9.279203796E-1,7.893860213E0
1.231001667E0,-6.690936127E0,-4.814887390E0,-1.213077393E0,8.332065986E0
1.241010666E0,-7.730224915E0,-3.939657440E0,-7.801776123E-1,8.711254507E0
1.251020667E0,-8.461604004E0,-3.371888123E0,-6.307882690E-1,9.130512892E0
1.261030667E0,-7.828271027E0,-3.968397675E0,2.243833923E-1,8.779541860E0
1.271040666E0,-8.098608856E0,-4.709955597E0,1.367256775E0,9.467868726E0
1.281050667E0,-7.808961182E0,-4.871320038E0,2.796334991E0,9.619205946E0
1.291060667E0,-7.548053741E0,-4.807552643E0,3.448828125E0,9.590625273E0
1.301070666E0,-7.551646271E0,-5.149741058E0,3.743265839E0,9.877207779E0
1.311080667E0,-7.746241608E0,-5.604495392E0,3.176244965E0,1.007487765E1
1.321090667E0,-7.989336090E0,-5.961053925E0,2.393073578E0,1.025136363E1
1.331100666E0,-8.480764160E0,-6.216422882E0,1.742975464E0,1.065857578E1
1.341110667E0,-8.622669067E0,-5.953270111E0,9.741741943E-1,1.052334843E1
1.351120667E0,-8.628955994E0,-5.641169128E0,1.184037781E-1,1.030998012E1
1.361130666E0,-8.494236145E0,-5.610482941E0,-5.520520020E-1,1.019481868E1
1.371140667E0,-9.116043091E0,-5.575755157E0,8.936416626E-2,1.068640600E1
1.381150667E0,-9.351653137E0,-5.159171448E0,6.939569092E-1,1.070289880E1
1.391160666E0,-9.454788666E0,-4.722828827E0,-6.556365967E-2,1.056893748E1
1.401170667E0,-9.840686188E0,-4.464166718E0,7.304809570E-2,1.080616607E1
1.411180667E0,-9.901310120E0,-4.430337067E0,4.308041382E-1,1.085584731E1
1.421189667E0,-1.001193008E1,-4.172423401E0,6.773414612E-1,1.086768846E1
1.431199667E0,-9.999056854E0,-3.958967285E0,2.975811768E-1,1.075839739E1
1.441209666E0,-1.008078690E1,-4.058959351E0,8.189469910E-1,1.089807734E1
1.451219667E0,-1.044303360E1,-4.713697815E0,1.692530365E0,1.158190644E1
1.461229667E0,-1.152767807E1,-5.234913940E0,2.961441650E0,1.300237756E1
1.471239666E0,-1.313967590E1,-5.457650757E0,7.170389099E0,1.593271836E1
1.481249667E0,-9.222471771E0,-3.961811371E0,2.046693878E0,1.024396851E1
1.491259667E0,-8.548423462E0,-3.673211517E0,-1.300794983E0,9.394684355E0
1.501269666E0,-9.876461792E0,-3.181184692E0,1.153351593E0,1.044005045E1
1.511279667E0,-1.155776550E1,-2.484084320E0,3.301235046E0,1.227398758E1
1.521289667E0,-1.097966766E1,-2.424508209E0,3.498973846E0,1.177599932E1
1.531299667E0,-1.057416092E1,-3.011587372E0,2.653082886E0,1.131023370E1
1.541309666E0,-1.114193024E1,-2.863694916E0,2.029180298E0,1.168164931E1
1.551319667E0,-1.041908340E1,-2.581980743E0,1.265169067E0,1.080854182E1
1.561329667E0,-8.818461914E0,-3.301384735E0,1.103205872E0,9.480584101E0
1.571339666E0,-8.656049652E0,-3.548371124E0,2.580483856E0,9.704485053E0
1.581349667E0,-8.527467041E0,-2.963088226E0,3.354374542E0,9.630649747E0
1.591359667E0,-8.206983490E0,-3.047961731E0,3.299438782E0,9.355797400E0
1.601368667E0,-7.759414215E0,-3.282673645E0,2.690954132E0,8.844528781E0
1.611378666E0,-6.621181183E0,-2.340981903E0,2.388732605E0,7.417970072E0
1.621388667E0,-6.221811676E0,-2.163451080E0,1.233435059E0,6.701703004E0
1.631398667E0,-5.930667114E0,-2.735561371E0,-3.367996216E-1,6.539842691E0
1.641408667E0,-5.169050903E0,-3.352428589E0,-5.783972168E-1,6.188085974E0
1.651418666E0,-4.696932678E0,-3.752247162E0,-4.326004028E-1,6.027244682E0
1.661428667E0,-4.580325165E0,-3.643124084E0,-4.757107544E-1,5.871799761E0
1.671438667E0,-4.375101929E0,-3.591182098E0,-3.724255371E-1,5.672460360E0
1.681448666E0,-4.251908112E0,-3.707490234E0,-1.823208618E-1,5.644240190E0
1.691458667E0,-4.678820343E0,-4.200115814E0,-6.047424316E-2,6.287765087E0
1.701468667E0,-7.309449921E0,-5.670059052E0,-2.182461548E-1,9.253391766E0
1.711478666E0,-9.573791199E0,-6.858138428E0,1.257385254E-2,1.177674398E1
1.721488667E0,-1.035995636E1,-7.400161285E0,6.855743408E-1,1.274994490E1
1.731498667E0,-1.054826477E1,-7.952362976E0,1.088686066E0,1.325485586E1
1.741508666E0,-8.572523346E0,-6.789431305E0,1.472338257E0,1.103414310E1
1.751518667E0,-5.572761383E0,-4.677622833E0,2.614762573E0,7.731287611E0
1.761528667E0,-2.964884491E0,-3.196602631E0,1.285676422E0,4.545522224E0
1.771538666E0,-1.378034363E0,-2.864742737E0,8.431965637E-1,3.288876723E0
1.781548667E0,-7.756869507E-1,-2.586920471E0,4.224215698E-1,2.733548564E0
1.791557666E0,-2.894979858E-1,-2.585423584E0,-9.580078125E-3,2.601598734E0
1.801567667E0,-9.669891357E-2,-3.014581146E0,-1.895059204E-1,3.022079195E0
1.811577667E0,1.898052979E-1,-3.479065247E0,-3.724255371E-1,3.504086446E0
1.821587666E0,6.930587769E-1,-4.777914276E0,-9.708810425E-1,4.924571585E0
1.831597667E0,5.192701721E-1,-5.154381409E0,-8.872050476E-1,5.255894026E0
