"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.520778332E-1,3.792812805E0,2.355052643E0,6.325845337E0,7.742610745E0
6.620888333E-1,3.664080505E0,2.310146027E0,6.784341888E0,8.049195952E0
6.720998334E-1,3.223995667E0,1.960473175E0,7.122788086E0,8.060503287E0
6.821118332E-1,2.855462036E0,1.868713989E0,6.666836243E0,7.489490029E0
6.921228333E-1,2.788251801E0,1.847009125E0,4.996759186E0,6.012769177E0
7.021338334E-1,2.933898926E0,2.142344971E0,3.431613922E0,4.997337190E0
7.121448335E-1,3.124752045E0,2.590513000E0,4.646038513E0,6.169319801E0
7.221558336E-1,3.352877655E0,2.236499176E0,6.563850403E0,7.702457351E0
7.321678335E-1,3.268752594E0,1.569486237E0,7.533983002E0,8.361156047E0
7.421788336E-1,3.534150696E0,1.630858612E0,7.898475037E0,8.805443138E0
7.521898332E-1,3.651057587E0,1.682351532E0,7.810607758E0,8.784424951E0
7.622008333E-1,3.331023102E0,1.436712341E0,7.584877167E0,8.407747552E0
7.722118334E-1,2.923420715E0,1.194515991E0,7.334447937E0,7.985448245E0
7.822238333E-1,2.019899597E0,1.402283936E0,6.637347565E0,7.078190257E0
7.922348334E-1,1.465901642E0,1.702709198E0,5.652545471E0,6.082709638E0
8.022458334E-1,2.015858002E0,1.960772552E0,4.735702057E0,5.507738779E0
8.122568335E-1,3.170407104E0,2.494113464E0,4.800068207E0,6.269987079E0
8.222678336E-1,3.649261322E0,2.923271027E0,5.564528503E0,7.268190914E0
8.322798335E-1,3.414250031E0,2.883304138E0,6.648873596E0,8.011121402E0
8.422908336E-1,2.921325073E0,2.326761475E0,7.526797943E0,8.402419081E0
8.523018332E-1,2.669398956E0,1.626966705E0,8.360564117E0,8.925902969E0
8.623128333E-1,2.422412567E0,1.557062073E0,9.048982544E0,9.496136584E0
8.723238334E-1,2.434687042E0,1.972897339E0,9.394314423E0,9.903189808E0
8.823358333E-1,2.301015015E0,2.588117981E0,9.071286163E0,9.709853626E0
8.923468334E-1,2.453996887E0,2.978206787E0,8.204887848E0,9.067083378E0
9.023578335E-1,3.254831543E0,3.391946411E0,7.764952698E0,9.077098613E0
9.123688336E-1,3.716172180E0,3.632047119E0,8.336164856E0,9.823102690E0
9.223798332E-1,4.111350403E0,3.597319336E0,1.002615051E1,1.141786331E1
9.323918335E-1,4.261338501E0,3.488944702E0,1.203422470E1,1.323458746E1
9.424028336E-1,3.623365173E0,2.460433502E0,1.345028000E1,1.414540704E1
9.524138332E-1,3.588637390E0,2.242486725E0,1.465287918E1,1.525168625E1
9.624248333E-1,4.271966400E0,2.801424408E0,1.580398544E1,1.660914301E1
9.724358334E-1,4.965623932E0,2.978655853E0,1.642010422E1,1.741119279E1
9.824478333E-1,5.685776367E0,2.399659882E0,1.607641891E1,1.722026903E1
9.924588334E-1,5.195246429E0,1.920356598E0,1.516361710E1,1.614353240E1
1.002469833E0,5.194947052E0,1.775607605E0,1.459629684E1,1.559461891E1
1.012480834E0,5.632636871E0,2.000889130E0,1.382390305E1,1.506089144E1
1.022491833E0,5.231471100E0,2.566413116E0,1.349428848E1,1.469865939E1
1.032501958E0,4.430636444E0,3.060086517E0,1.363469650E1,1.465945488E1
1.042513958E0,4.424798584E0,2.566263428E0,1.313024551E1,1.409141220E1
1.052524958E0,4.920567627E0,2.245630188E0,1.170431076E1,1.289363142E1
1.062535958E0,5.026397552E0,3.308569794E0,1.113699051E1,1.265874654E1
1.072546958E0,4.624483337E0,2.929108887E0,1.067115921E1,1.199329662E1
1.082557959E0,4.780758362E0,2.526446228E0,9.693242798E0,1.109943859E1
1.092569958E0,4.730762329E0,2.712060242E0,8.987460480E0,1.051236552E1
1.102580959E0,4.855602722E0,2.620600433E0,8.589138794E0,1.020870852E1
1.112591959E0,5.183421021E0,2.248025208E0,8.499026184E0,1.020563163E1
1.122602958E0,5.276826782E0,1.711391144E0,9.088799744E0,1.064800645E1
1.132613958E0,5.005141754E0,1.179247742E0,9.352700958E0,1.067310098E1
1.142625958E0,4.710105286E0,6.418652344E-1,8.968599701E0,1.015051050E1
1.152636958E0,4.540957031E0,1.315763855E-1,8.616382141E0,9.740618271E0
1.162647958E0,4.450245667E0,4.221221924E-2,8.258326721E0,9.381174159E0
1.172658958E0,4.205803986E0,-6.391708374E-2,7.546407166E0,8.639510036E0
1.182669959E0,3.674858093E0,-4.245172119E-1,6.243666229E0,7.257283572E0
1.192681958E0,3.276536407E0,-7.432044983E-1,4.632566528E0,5.722649421E0
1.202692959E0,3.617227936E0,-6.286926270E-2,3.276386719E0,4.880881110E0
1.212703959E0,3.564687195E0,7.979905701E-1,3.566483459E0,5.105251024E0
1.222714958E0,4.209246826E0,8.646020508E-1,3.923940125E0,5.819158157E0
1.232725958E0,4.285288696E0,-9.325607300E-2,4.532424774E0,6.238210500E0
1.242737958E0,4.509073334E0,-1.210682373E0,5.073250122E0,6.894589251E0
1.252748958E0,4.853207703E0,-2.001038818E0,4.964276733E0,7.225083034E0
1.262759958E0,5.613776093E0,-2.560275879E0,4.632117462E0,7.715309895E0
1.272770958E0,6.242319031E0,-2.695744171E0,4.154760132E0,7.968413598E0
1.282781959E0,5.933960266E0,-2.478695526E0,3.709585876E0,7.424071883E0
1.292793958E0,5.161566467E0,-1.767075348E0,3.167563019E0,6.308548102E0
1.302804959E0,5.491181030E0,-1.516795807E0,2.976410522E0,6.427500154E0
1.312815959E0,6.749763794E0,-1.832788696E0,2.907703400E0,7.574507558E0
1.322826958E0,7.168742523E0,-1.794767761E0,2.793490906E0,7.900357721E0
1.332837958E0,7.063661041E0,-1.615440674E0,2.759062500E0,7.753539950E0
1.342849958E0,6.820117493E0,-1.651815033E0,2.771636353E0,7.544830256E0
1.352860958E0,7.417375488E0,-1.830842743E0,2.401007080E0,8.008388058E0
1.362871958E0,7.509733429E0,-2.053729248E0,2.456990662E0,8.163988187E0
